http://www.wikidata.org/entity/Q1046049,Kapitein Nemo,35,explorer_engineer_terrorist_submariner_ship captain_researcher
http://www.wikidata.org/entity/Q104622,Tawakkul Karman,88,peace activist_journalist_politician_human rights activist
http://www.wikidata.org/entity/Q1047,Jawaharlal Nehru,173,statesperson_writer_politician_autobiographer_barrister_trade unionist
http://www.wikidata.org/entity/Q10479,Catherine Middleton,98,businessperson_socialite_philanthropist_aristocrat
http://www.wikidata.org/entity/Q104791,Ed Harris,72,film actor_film director_character actor_screenwriter_film producer_stage actor_television actor_voice actor_actor_theatrical director
http://www.wikidata.org/entity/Q1048,Julius Caesar,272,orator_memoirist_ruler_Ancient Roman historian_poet_Ancient Roman priest_Ancient Roman politician_Ancient Roman military personnel_politician_military leader_writer_historian
http://www.wikidata.org/entity/Q104859,Michael Collins,84,military officer_astronaut_aircraft pilot_businessperson_test pilot_autobiographer_actor_airman_entrepreneur
http://www.wikidata.org/entity/Q104884,Caspar David Friedrich,85,painter_sculptor_architectural draftsperson_watercolorist_printmaker_drawer_landscape painter
http://www.wikidata.org/entity/Q10490,Ayrton Senna,103,Formula One driver_racing automobile driver_businessperson_philanthropist
http://www.wikidata.org/entity/Q10494,Alain Prost,70,racing automobile driver_Formula One driver
http://www.wikidata.org/entity/Q10510,Jenson Button,72,racing automobile driver_autobiographer_Formula One driver
http://www.wikidata.org/entity/Q10514,Fernando Alonso,116,Formula One driver
http://www.wikidata.org/entity/Q105167,Tom Clancy,74,writer_novelist_non-fiction writer_prosaist
http://www.wikidata.org/entity/Q10520,David Beckham,128,association football player_model_blogger_actor_entrepreneur
http://www.wikidata.org/entity/Q10524,Ryan Giggs,80,association football player_association football manager
http://www.wikidata.org/entity/Q105428,Johann Heinrich Pestalozzi,85,pedagogue_philanthropist_philosopher_politician_writer_farmer_teacher
http://www.wikidata.org/entity/Q1058,Narendra Modi,161,politician_writer_social worker_bibliographer_international forum participant
http://www.wikidata.org/entity/Q1059948,Khalifa bin Zayed Al Nahayan,77,politician
http://www.wikidata.org/entity/Q106099,Jeanne Moreau,74,film actor_film director_singer_screenwriter_musician_film producer_stage actor_actor_recording artist
http://www.wikidata.org/entity/Q106383,Isabelle Adjani,78,film actor_stage actor_singer
http://www.wikidata.org/entity/Q1064,Alessandro Manzoni,101,writer_poet_politician_novelist_playwright
http://www.wikidata.org/entity/Q106418,Catherine Deneuve,88,actor_film producer_film actor_model_singer_designer_voice actor
http://www.wikidata.org/entity/Q10648,Gordon Brown,124,politician_journalist_biographer_autobiographer_academic_historian_international forum participant
http://www.wikidata.org/entity/Q106481,Alan Rickman,91,television actor_film actor_voice actor_character actor_film director_film producer_graphic designer_stage actor_writer_actor_screenwriter_theatrical director_director
http://www.wikidata.org/entity/Q106529,Alain Delon,116,actor_screenwriter_film director_military personnel_stage actor_film actor_film producer_television actor
http://www.wikidata.org/entity/Q10664,Neville Chamberlain,110,politician_businessperson
http://www.wikidata.org/entity/Q10665,Kim Jong-il,129,politician_military personnel
http://www.wikidata.org/entity/Q106685,Andrzej Wajda,76,film director_theatrical director_screenwriter_film producer_television director_politician_director
http://www.wikidata.org/entity/Q1067,Dante Alighieri,252,poet_writer_prosaist_politician_philosopher_political theorist_intellectual_linguist
http://www.wikidata.org/entity/Q106706,Jeff Goldblum,72,film actor_television actor_film director_voice actor_character actor_film producer_stage actor_actor_pianist_jazz musician
http://www.wikidata.org/entity/Q106807,Magnus Carlsen,98,chess player
http://www.wikidata.org/entity/Q107000,Mirza Ghalib,73,poet_writer_prosaist_historian
http://www.wikidata.org/entity/Q107006,Claudia Cardinale,76,film actor_actor_stage actor
http://www.wikidata.org/entity/Q107037,Leymah Gbowee,83,politician_businessperson_economist_peace activist_international forum participant
