http://www.wikidata.org/entity/Q5752,Peter Kropotkin,112
http://www.wikidata.org/entity/Q7192,Qin Shi Huangdi,185
http://www.wikidata.org/entity/Q9161,Josip Broz Tito,120
http://www.wikidata.org/entity/Q9488,Sachin Tendulkar,74
http://www.wikidata.org/entity/Q9353,John Locke,191
http://www.wikidata.org/entity/Q8027,Martin Luther King,221
http://www.wikidata.org/entity/Q5683,Geoffrey Chaucer,162
http://www.wikidata.org/entity/Q7750,Lodewijk XVIII van Frankrijk,85
http://www.wikidata.org/entity/Q8474,Süleyman I,130
http://www.wikidata.org/entity/Q8619,Pierre Trudeau,82
http://www.wikidata.org/entity/Q8007,Franklin Delano Roosevelt,217
http://www.wikidata.org/entity/Q7311,Giacomo Puccini,132
http://www.wikidata.org/entity/Q8605,Simón Bolívar,164
http://www.wikidata.org/entity/Q5152,Mustafa Kemal Atatürk,235
http://www.wikidata.org/entity/Q5950,James Brown,100
http://www.wikidata.org/entity/Q5679,Lord Byron,203
http://www.wikidata.org/entity/Q5879,Johann Wolfgang von Goethe,259
http://www.wikidata.org/entity/Q7732,Lodewijk XVI van Frankrijk,119
http://www.wikidata.org/entity/Q7742,Lodewijk XIV van Frankrijk,168
http://www.wikidata.org/entity/Q7758,Karel X van Frankrijk,80
http://www.wikidata.org/entity/Q7771,Lodewijk Filips I van Frankrijk,81
http://www.wikidata.org/entity/Q9317,John Maynard Keynes,165
http://www.wikidata.org/entity/Q9545,Tony Blair,150
http://www.wikidata.org/entity/Q9387,Max Weber,154
http://www.wikidata.org/entity/Q7317,Giuseppe Verdi,161
http://www.wikidata.org/entity/Q8023,Nelson Mandela,273
http://www.wikidata.org/entity/Q8612,Andrew Johnson,136
http://www.wikidata.org/entity/Q5749,Pierre-Joseph Proudhon,100
http://www.wikidata.org/entity/Q6279,Joe Biden,247
http://www.wikidata.org/entity/Q8573,Sun Yat-sen,138
http://www.wikidata.org/entity/Q16574,Chiang Kai-shek,130
http://www.wikidata.org/entity/Q39444,Ronaldinho,107
http://www.wikidata.org/entity/Q17410,Zhou Enlai,96
http://www.wikidata.org/entity/Q1463,Ferdinand Marcos,137
http://www.wikidata.org/entity/Q1464,Benigno Aquino III,74
http://www.wikidata.org/entity/Q1500,José Rizal,83
http://www.wikidata.org/entity/Q1817,Philippus I Arabs,70
http://www.wikidata.org/entity/Q2153,Subhas Bose,73
http://www.wikidata.org/entity/Q2492,Konrad Adenauer,136
http://www.wikidata.org/entity/Q2538,Joachim Gauck,94
http://www.wikidata.org/entity/Q2667,Paul von Hindenburg,99
http://www.wikidata.org/entity/Q2866,Aleksandr Loekasjenko,141
http://www.wikidata.org/entity/Q6319,Jelena Isinbajeva,76
http://www.wikidata.org/entity/Q2516,Helmut Schmidt,104
http://www.wikidata.org/entity/Q16597,Jiang Zemin,98
http://www.wikidata.org/entity/Q17455,John von Neumann,112
http://www.wikidata.org/entity/Q36215,Mark Zuckerberg,148
http://www.wikidata.org/entity/Q46633,Charles Babbage,108
http://www.wikidata.org/entity/Q2038,François Mitterrand,129
http://www.wikidata.org/entity/Q1541,Marcus Tullius Cicero,190
http://www.wikidata.org/entity/Q1436,Pertinax,75
http://www.wikidata.org/entity/Q2054,Lucius Annaeus Seneca,151
http://www.wikidata.org/entity/Q2161,Publius Cornelius Tacitus,135
http://www.wikidata.org/entity/Q2757,Lech Kaczyński,112
http://www.wikidata.org/entity/Q7251,Alan Turing,173
http://www.wikidata.org/entity/Q7259,Ada Lovelace,116
http://www.wikidata.org/entity/Q22316,John Kerry,106
